,Siruta,Localitate,Total_cif_afaceri
533,58856,Panticeu,0.0
534,148970,Granicesti,2894672.0
535,91624,Totesti,301999.0
536,42480,Dragus,3970661.0
537,108017,Oras Dragomiresti,0.0
538,17913,Poienarii De Arges,0.0
539,124411,Stefan Cel Mare,15832994.0
540,75258,Munteni,13565018.0
541,116224,Cozma,0.0
542,42498,Augustin,0.0
543,108035,Dumbravita,2299668.0
544,26118,Vultureni,2363900.0
545,83464,Oras Balan,0.0
546,157193,Ghizela,184928.0
547,9743,Almas,357469.0
548,140823,Criseni,9594507.0
549,34333,Rodna,209556.0
550,173597,Sutesti,20007.0
551,83491,Oras Borsec,0.0
552,58918,Petrestii De Jos,777721.0
553,99879,Tiganasi,22056092.0
554,132645,Chiojdeanca,1595242.0
555,91688,Turdas,443452.0
556,165416,Pogana,5513769.0
557,17968,Poienarii De Muscel,0.0
558,67121,Costestii Din Vale,1244306.0
559,34360,Romuli,271458.0
560,149049,Horodniceni,260750.0
561,157246,Giarmata,20666659.0
562,116288,Craciunesti,1091165.0
563,83525,Oras Cristuru Secuiesc,6957304.0
564,9798,Apateu,0.0
565,140869,Cuzaplac,0.0
566,75338,Oras Beresti,1112486.0
567,108106,Farcasa,5378.0
568,132681,Ciorani,24825.0
569,124493,Tarcau,0.0
570,91731,General Berthelot,0.0
571,99922,Tutora,35282.0
572,157273,Giera,88145907.0
573,165470,Puiesti,187374.0
574,34397,Salva,190315.0
575,75356,Beresti-Meria,822521.0
576,67167,Crangurile,1475769.0
577,50790,Municipiul Resita,11577674.0
578,9832,Archis,0.0
579,83561,Municipiul Gheorgheni,15996970.0
580,18028,Poiana Lacului,447125.0
581,58990,Ploscos,68043.0
582,132716,Cocorastii Mislii,6400.0
583,149101,Horodnic De Jos,0.0
584,173686,Sirineasa,0.0
585,116340,Craiesti,38935105.0
586,34422,Silivasu De Campie,0.0
587,108151,Giulesti,0.0
588,99968,Valea Seaca,1940192.0
589,157317,Giulvaz,24719376.0
590,149138,Iacobeni,0.0
591,91795,Vata De Jos,0.0
592,124563,Tasca,165500.0
593,132752,Colceag,1585056.0
594,140958,Dobrin,1208509.0
595,9887,Bata,592517.0
596,1696,Oras Cugir,142598.0
597,59041,Poieni,158687.0
598,100004,Victoria,11645483.0
599,116395,Cucerdea,698453.0
600,34477,Sanmihaiu De Campie,2343065.0
601,108204,Ieud,86952.0
602,157362,Jamu Mare,16869054.0
603,26289,Zemes,0.0
604,83632,Municipiul Toplita,187352.0
605,173748,Stefanesti,652357.0
606,67256,Darmanesti,529821.0
607,42682,Municipiul Braila,626776949.0
608,149183,Izvoarele Sucevei,0.0
609,108222,Lapus,0.0
610,132805,Cornu,0.0
611,50889,Oras Anina,0.0
612,124616,Tazlau,128244.0
613,9930,Beliu,600.0
614,26320,Sarata,1424695.0
615,75472,Oras Targu Bujor,5338943.0
616,108240,Leordina,0.0
617,42708,Chiscani,52995684.0
618,116439,Cuci,1261753.0
619,124634,Tamaseni,2022606.0
620,67292,Dobra,5961277.0
621,141027,Dragu,0.0
622,26338,Buciumi,0.0
623,173793,Susani,0.0
624,149227,Oras Liteni,353071.0
625,165611,Pungesti,162967.0
626,26346,Gioseni,0.0
627,50923,Oras Baile Herculane,0.0
628,132841,Cosminele,0.0
629,108268,Miresu Mare,5319155.0
630,26353,Odobesti,0.0
631,18162,Popesti,2016442.0
632,157424,Jebel,1727409.0
633,34547,Spermezeu,494753.0
634,124661,Timisesti,2610053.0
635,100086,Vanatori,1484504.0
636,26361,Prajesti,0.0
637,59130,Recea-Cristur,229379.0
638,75515,Barcea,550419.0
639,67327,Dragodana,8736797.0
640,42753,Oras Faurei,1477104.0
641,1794,Oras Ocna Mures,1188164.0
642,157451,Lenauheim,28150914.0
643,26379,Itesti,4617727.0
644,116493,Danes,1569950.0
645,42771,Surdila-Greci,31743574.0
646,10006,Birchis,1283613.0
647,75542,Balabanesti,1091038.0
648,50969,Oras Bocsa,78631739.0
649,141081,Fildu De Jos,0.0
650,173855,Tetoiu,0.0
651,91937,Valisoara,0.0
652,132896,Drajna,0.0
653,83749,Oras Vlahita,500.0
654,149290,Marginea,384515.0
655,50987,Ocna De Fier,0.0
656,124723,Trifesti,13103644.0
657,100148,Vladeni,16427023.0
658,34618,Sant,0.0
659,157497,Liebling,14941960.0
660,108348,Moisei,0.0
661,116545,Deda,0.0
662,18242,Priboieni,0.0
663,51010,Municipiul Caransebes,4306101.0
664,10051,Barsa,25410.0
665,149316,Malini,0.0
666,42824,Baraganul,16012008.0
667,83785,Atid,233012.0
668,141134,Galgau,45605.0
669,67407,Dragomiresti,0.0
670,91982,Vetel,141089102.0
671,108366,Oarta De Jos,6830330.0
672,124750,Tupilati,194219.0
673,1874,Municipiul Sebes,8567695.0
674,34645,Sieu,19208.0
675,165719,Rebricea,0.0
676,157530,Lovrin,10908953.0
677,42842,Bertestii De Jos,6446222.0
678,75613,Balasesti,35374.0
679,59238,Risca,197371.0
680,173935,Tomsani,0.0
681,116590,Eremitu,7264.0
682,51056,Oras Moldova Noua,2737066.0
683,108400,Ocna Sugatag,0.0
684,10104,Barzava,295227.0
685,149370,Manastirea Humorului,0.0
686,100219,Voinesti,2166917.0
687,34690,Sieu-Magherus,789242.0
688,124803,Tibucani,0.0
689,83847,Avramesti,404541.0
690,67470,Finta,2446022.0
691,1936,Oras Zlatna,738186.0
692,59283,Sacuieu,30478.0
693,157585,Margina,248803.0
694,75668,Baleni,0.0
695,133018,Draganesti,9229059.0
696,18331,Ratesti,1103301.0
697,42913,Bordei Verde,8273548.0
698,149414,Moara,6080082.0
699,108455,Petrova,0.0
700,75686,Baneasa,0.0
701,116652,Ernei,1796773.0
702,51118,Oras Oravita,27953899.0
703,100273,Bals,487195.0
704,124849,Urecheni,273281.0
705,141232,Garbou,0.0
706,108473,Poienile De Sub Munte,0.0
707,100282,Costesti,0.0
708,165817,Rosiesti,55048584.0
709,75711,Branistea,0.0
710,59327,Savadisla,80000.0
711,92097,Vorta,0.0
712,67522,Glodeni,0.0
713,26564,Municipiul Oradea,98751709.0
714,174021,Vaideeni,42827.0
715,108491,Remetea Chioarului,0.0
716,34770,Sieu-Odorhei,0.0
717,10195,Bocsig,1688699.0
718,124885,Valea Ursului,0.0
719,100308,Draguseni,0.0
720,26582,Sanmartin,101458457.0
721,42968,Ciocile,4804113.0
722,100317,Fantanele,290244.0
723,133090,Dumbrava,3639541.0
724,83936,Bilbor,0.0
725,100326,Harmanesti,10289.0
726,18411,Recea,0.0
727,100335,Rachiteni,1687115.0
728,157683,Masloc,6595451.0
729,116723,Faragau,2433521.0
730,75766,Brahasesti,143818.0
731,100344,Roscani,2868813.0
732,83963,Capalnita,0.0
733,149502,Moldova-Sulita,101907.0
734,10239,Brazii,0.0
735,100353,Valea Lupului,5555802.0
736,141312,Halmasd,0.0
737,51207,Oras Otelu Rosu,170647.0
738,174085,Valea Mare,23400.0
739,108552,Remeti,0.0
740,165899,Solesti,1312322.0
741,67595,Gura Ocnitei,235123.0
742,43019,Ciresu,15161342.0
743,100362,Ciohorani,874939.0
744,124938,Alexandru Cel Bun,1651.0
745,83981,Ciucsangeorgiu,64792.0
746,92177,Zam,0.0
747,59416,Sic,0.0
748,26653,Santandrei,138401735.0
749,149539,Moldovita,860502.0
750,34850,Sieut,669661.0
751,59434,Sancraiu,1441387.0
752,75819,Buciumeni,741533.0
753,157736,Manastiur,0.0
754,18475,Rociu,4674978.0
755,51243,Armenis,0.0
756,133161,Filipestii De Padure,193018.0
757,10293,Buteni,2700.0
758,108598,Repedea,0.0
759,116796,Fantanele,4943311.0
760,43073,Dudesti,7634780.0
761,67648,Gura Sutii,665457.0
762,141376,Hereclean,288318.0
763,108614,Rona De Jos,0.0
