,Siruta,Localitate,Plante
637,59130,Recea-Cristur,0.0
638,75515,Barcea,0.0
639,67327,Dragodana,0.0
640,42753,Oras Faurei,0.0
641,1794,Oras Ocna Mures,0.0
642,157451,Lenauheim,0.0
643,26379,Itesti,4262904.0
644,116493,Danes,0.0
645,42771,Surdila-Greci,0.0
646,10006,Birchis,0.0
647,75542,Balabanesti,0.0
648,50969,Oras Bocsa,6993.0
649,141081,Fildu De Jos,0.0
650,173855,Tetoiu,0.0
651,91937,Valisoara,0.0
652,132896,Drajna,0.0
653,83749,Oras Vlahita,0.0
654,149290,Marginea,0.0
655,50987,Ocna De Fier,0.0
656,124723,Trifesti,0.0
657,100148,Vladeni,0.0
658,34618,Sant,0.0
659,157497,Liebling,0.0
660,108348,Moisei,0.0
661,116545,Deda,0.0
662,18242,Priboieni,0.0
663,51010,Municipiul Caransebes,0.0
664,10051,Barsa,25410.0
665,149316,Malini,0.0
666,42824,Baraganul,0.0
667,83785,Atid,88125.0
668,141134,Galgau,0.0
669,67407,Dragomiresti,0.0
670,91982,Vetel,0.0
671,108366,Oarta De Jos,0.0
672,124750,Tupilati,0.0
673,1874,Municipiul Sebes,1067356.0
674,34645,Sieu,0.0
675,165719,Rebricea,0.0
676,157530,Lovrin,0.0
677,42842,Bertestii De Jos,0.0
678,75613,Balasesti,0.0
679,59238,Risca,0.0
680,173935,Tomsani,0.0
681,116590,Eremitu,7264.0
682,51056,Oras Moldova Noua,0.0
683,108400,Ocna Sugatag,0.0
684,10104,Barzava,0.0
685,149370,Manastirea Humorului,0.0
686,100219,Voinesti,0.0
687,34690,Sieu-Magherus,0.0
688,124803,Tibucani,0.0
689,83847,Avramesti,0.0
690,67470,Finta,0.0
691,1936,Oras Zlatna,0.0
692,59283,Sacuieu,0.0
693,157585,Margina,0.0
694,75668,Baleni,0.0
695,133018,Draganesti,0.0
696,18331,Ratesti,0.0
697,42913,Bordei Verde,0.0
698,149414,Moara,0.0
699,108455,Petrova,0.0
700,75686,Baneasa,0.0
701,116652,Ernei,90366.0
702,51118,Oras Oravita,0.0
703,100273,Bals,0.0
704,124849,Urecheni,273281.0
705,141232,Garbou,0.0
706,108473,Poienile De Sub Munte,0.0
707,100282,Costesti,0.0
708,165817,Rosiesti,0.0
709,75711,Branistea,0.0
710,59327,Savadisla,0.0
711,92097,Vorta,0.0
712,67522,Glodeni,0.0
713,26564,Municipiul Oradea,1184145.0
714,174021,Vaideeni,0.0
715,108491,Remetea Chioarului,0.0
716,34770,Sieu-Odorhei,0.0
717,10195,Bocsig,0.0
718,124885,Valea Ursului,0.0
719,100308,Draguseni,0.0
720,26582,Sanmartin,0.0
721,42968,Ciocile,0.0
722,100317,Fantanele,0.0
723,133090,Dumbrava,0.0
