,Siruta,Localitate,LT
482,33952,Monor,46.309963099631
2673,153437,Necsesti,46.27218934911242
3033,173748,Stefanesti,46.251441753171854
787,51332,Bautar,46.228710462287104
3094,177762,Soveja,46.20573355817875
1563,94768,Vlad Tepes,46.191950464396285
388,28709,Campani,46.17737003058104
1177,72640,Goicea,46.17706237424547
2723,155261,Dumbravita,46.166881859264045
1404,85056,Meresti,46.125461254612546
2707,154790,Troianul,46.099603349493165
1415,85680,Sancraieni,46.09227871939736
1464,88546,Branisca,46.09084139985108
2705,154736,Traian,46.0832745236415
2490,145220,Pauca,46.0702875399361
947,60883,Adamclisi,46.02209944751382
96,10051,Barsa,46.013513513513516
1395,84415,Frumoasa,46.01144395826321
1433,86487,Porumbeni,45.99574769666903
2953,167286,Dodesti,45.97014925373134
450,32195,Gepiu,45.951156812339335
1206,74073,Scaesti,45.93446601941748
803,52062,Copacele,45.928338762214985
1938,114970,Acatari,45.88986432561852
1978,117505,Hodosa,45.87525150905433
841,54163,Sopotu Nou,45.852534562211986
806,52570,Dalboset,45.84920030464585
52,6468,Posaga,45.80873671782763
2406,140627,Crasna,45.803996194100854
2136,126433,Curtisoara,45.7617728531856
117,11307,Ignesti,45.75389948006933
832,53639,Ramna,45.749613601236476
2287,133919,Lapos,45.74944071588367
2677,153561,Piatra,45.715440582053354
1211,74242,Sopot,45.693950177935946
11,2309,Almasu Mare,45.683802133850634
1270,76638,Jorasti,45.657015590200444
898,57948,Garbau,45.65677966101695
1059,65752,Petresti,45.635093845482324
913,58918,Petrestii De Jos,45.5962587685113
1248,75686,Baneasa,45.57416267942584
1148,71340,Bulzesti,45.561594202898554
1072,66526,Candesti,45.55798687089715
704,45753,Calvini,45.55555555555556
693,44989,Balaceanu,45.50517104216388
758,49484,Siriu,45.44018949861824
97,10104,Barzava,45.42801556420233
849,54537,Vermes,45.42586750788644
76,9019,Cut,45.39411206077873
192,15554,Ciomagesti,45.34090909090909
2640,152234,Bragadiru,45.31761624099542
838,53853,Sichevita,45.246277205040094
1067,66223,Barbuletu,45.20624303232999
1349,81415,Prigoria,45.18174133558749
140,12288,Silindia,45.17543859649123
3009,171806,Olanu,45.157284768211916
1336,80506,Hurezani,45.14637904468413
2207,129914,Vitomiresti,45.13618677042802
2127,126022,Brancoveni,45.135640785781106
2116,125490,Draghiceni,45.114754098360656
1218,74581,Valea Stanciului,45.09433962264151
135,12126,Socodor,45.02446982055465
1326,79656,Ciuperceni,44.96541122213682
496,34618,Sant,44.95720133978415
2686,153936,Salcia,44.93765586034913
1560,94651,Unirea,44.93449781659389
2643,152314,Bujoru,44.91349480968858
1281,77082,Rediu,44.88734835355286
1950,115771,Bichis,44.87577639751553
1302,78016,Dragutesti,44.8421052631579
2410,140869,Cuzaplac,44.83030781373323
2411,140958,Dobrin,44.82501861504095
1109,68627,Oras Racari,44.80402010050251
2690,154139,Seaca,44.76744186046512
2984,169547,Dragoesti,44.76600985221675
106,10532,Craiva,44.73913043478261
1810,107234,Bicaz,44.72681067344346
1331,80123,Danesti,44.668319900805955
673,43992,Silistea,44.61960246744346
2576,149753,Paltinoasa,44.58638743455497
2644,152332,Buzescu,44.5475638051044
2430,142284,Pericei,44.52943132690389
880,56568,Capusu Mare,44.522691705790294
2147,127064,Ganeasa,44.52008168822328
1346,81184,Pestisani,44.504106127605816
2221,130366,Sarbii - Magura,44.437299035369776
1098,68128,Mogosani,44.41609977324263
2279,133429,Gherghita,44.35537742150969
3170,179971,Colelia,44.201312910284464
1241,75338,Oras Beresti,44.1967717140661
143,12402,Sistarovat,44.178082191780824
872,56096,Bobalna,44.17562724014337
798,51840,Carbunari,44.1741357234315
3037,174021,Vaideeni,44.16640600563028
1534,93664,Gradistea,44.16435593647592
